Q01_Best part	Q02_Worst part	Q03_Time
'I liked all the jupyter excercises. I haven''t been doing python for years and It gives you a good basic understanding of numpy&nbsp;'	'I don''t like describing matrix qualities like is A^TA always invertible&nbsp; etc. since I don''t have a good intuition about the stuff'	2 : 1-5 hours
'The second coding exercise was pretty good in getting used to using the plot functions in python because I''ve never coded using python before. There still could be some brief introduction to using the required libraries, but I guess most people taking the course have used python a lot already. Getting myself to start the round took some time as I was afraid I   wouldn''t be able to code anything in Python but after getting started it   wasn''t all that bad'	The course introduced the machine learning concepts in a more complicated way than necessary in my opinion. Sometimes using the mathematical notations can be useful, but if people focus too much on trying to figure out the used notation the discussed topic may just go out of the other ear.	3 : 6-10 Hours
JupyerHub. Much easier than setuping by myself. Also book was really good in explaining stuff.	-0	4 : 10-20 hours
getting introduction to numpy	Using jupyter	2 : 1-5 hours
I have encountered eigenvectors a couple of times before. Perhaps it is the repetition and that they were already familiar, but I think the python exercise of plotting them on the data plot illustrates them really well.	'The questionnary had a couple of questions that felt like trick questions. Especially the one about invertible matrices with full rank and linear independency was very hard and came out of the blue.Another bad thing is asking about typos in the timed questionnaire. If I am limited time for the quiz I don''t have the motivation to seek out the typos I noticed in material. Some of the upcoming questions might&nbsp;take a lot of time so I can''t waste it. Also if I retake the quiz, should I then retype the whole answer again and again. It does not feel like the right place for such a question. Here in this feedback form I could give them though.'	4 : 10-20 hours
Exercises about data manipulation, covariances etc. using numpy. I have not used numpy before and have heard that it is a very powerful tool.	I did not find anything to complain about, really.	2 : 1-5 hours
I really liked the exercises because I have not used python before (I have experience from other languanges) and I was amazed by the amount of libraries made for python and how easy they were to implement. 	I did not like general instructions. They could have been more clear. For example I had a problems understanding why&nbsp;jupyterhub is used and for what. Not a big problem though.	3 : 6-10 Hours
Programming exercise part was fun to work as it helped me to learn new features of python.	Understanding section 2.3 of the course book proved a bit too difficult and I could not properly get the idea about loss function from the book.	4 : 10-20 hours
I thought the third excercise was the best since it refreshed my memory on working with matrices and using the numpy matrix functions. The visualization part was also pretty neat.	I was hoping the round would go a bit further into machine learning since I am already quite familiar with the basic math behind the concepts from my earlier studies, but I fully understand that many people have much less earlier experience.	3 : 6-10 Hours
How to use ML to recognize apples from drawings. It was nice subject and very well presented.	Quiz for round 1 because if you made a single mistake it will take points from you if you try it twise and second time you get it right.&nbsp;	4 : 10-20 hours
The reading material was pleasant to study. The hypothesis space section could be more focused on one subject in the cases. What follows are the topics of the ch 2.2 in order:&nbsp;Rumba,&nbsp;Shazaam (though presented in exercise-type box. Might be labeled as such, also),&nbsp;Python,&nbsp;&nbsp;Cryptocurrencies&nbsp;Rumba. Managing the different topics made focusing in the subject matter a bit difficult. No other complaints :)	The quiz portion, where I got to retrace the found typos in reading material. I would have appreciated heads up on that. I never found the last spotted one..	2 : 1-5 hours
At this point, the exercises were easy, but the coding example in jupyter was well made and made completing the coding tasks very snappy. Usually it takes hours to set up coding environments just for specific courses.	The quiz was a bit stressing. I was worried if I made something differently in my code and it would be different in the right answer. Also I didnt find matrix material from jupyter, so I had to study the matrix stuff from wikipedia at the same time I took the quiz.	2 : 1-5 hours
