rows,cols
1087,2779
1001,2387
1258,2270
1069,2393
922,2404
1047,2262
991,2381
1035,2380
1115,2395
995,2385
1089,2439
1127,2419
1134,2471
1016,2404
1086,2782
1117,2780
1116,2395
1033,2380
1296,2780
1090,2784
1056,2400
1127,2478
1094,2379
943,2187
1140,2873
1293,2748
1039,2395
949,2388
990,2423
1056,2411
991,2429
1093,2261
1098,2380
1125,2420
1296,2782
1079,2829
1129,2358
1296,2748
1000,2385
1115,2396
944,2385
1094,2381
1038,2374
1025,2437
1110,2778
1091,2396
1062,2349
1155,2381
1072,2829
1033,2378
